hyperparameters,epoch,loss_tr,loss_va,duration
"{'dhidden': 128, 'batchsize': 128, 'lr': 0.1}",7,206.80402928093005,206.0788625,1.0815789699554443
"{'dhidden': 128, 'batchsize': 128, 'lr': 0.1}",8,206.8195971339877,206.003925,1.0880365371704102
"{'dhidden': 128, 'batchsize': 128, 'lr': 0.1}",9,206.7950683201661,206.2457,1.136805534362793
"{'dhidden': 128, 'batchsize': 128, 'lr': 0.1}",10,206.80095612160397,206.2674,1.344327688217163
"{'dhidden': 128, 'batchsize': 128, 'lr': 0.1}",11,206.80829572983933,206.0559625,1.2325422763824463
"{'dhidden': 128, 'batchsize': 128, 'lr': 0.1}",12,206.83520582962853,206.313375,1.0813167095184326
"{'dhidden': 128, 'batchsize': 128, 'lr': 0.1}",13,206.77764052854616,206.27005,1.0701203346252441
"{'dhidden': 128, 'batchsize': 128, 'lr': 0.1}",14,206.82869591396422,206.147225,1.0601880550384521
"{'dhidden': 128, 'batchsize': 128, 'lr': 0.1}",15,206.760616425018,206.147675,1.0790460109710693
"{'dhidden': 128, 'batchsize': 128, 'lr': 0.1}",16,206.77359917128112,206.097825,1.0598812103271484
"{'dhidden': 128, 'batchsize': 128, 'lr': 0.1}",17,206.76088768511818,206.27645,1.0686888694763184
"{'dhidden': 128, 'batchsize': 128, 'lr': 0.1}",18,206.7808526506771,206.184125,1.066498041152954
"{'dhidden': 128, 'batchsize': 128, 'lr': 0.1}",19,206.76795286386886,206.157125,1.059739589691162
"{'dhidden': 128, 'batchsize': 16, 'lr': 0.001}",0,171.53461303263228,160.37245,6.901364088058472
"{'dhidden': 128, 'batchsize': 16, 'lr': 0.001}",1,157.73198420946107,155.7994,7.32005500793457
"{'dhidden': 128, 'batchsize': 16, 'lr': 0.001}",2,154.43768981909173,153.2092375,6.884981632232666
"{'dhidden': 128, 'batchsize': 16, 'lr': 0.001}",3,152.33666209711586,151.4702875,7.168553113937378
"{'dhidden': 128, 'batchsize': 16, 'lr': 0.001}",4,150.9387815836176,150.252625,7.2798802852630615
"{'dhidden': 128, 'batchsize': 16, 'lr': 0.001}",5,149.7484633027792,149.3274625,6.79767107963562
"{'dhidden': 128, 'batchsize': 16, 'lr': 0.001}",6,148.72953825691408,148.526125,7.171941041946411
"{'dhidden': 128, 'batchsize': 16, 'lr': 0.001}",7,147.83291743805836,147.729275,6.815785646438599
"{'dhidden': 128, 'batchsize': 16, 'lr': 0.001}",8,147.1438603150619,147.371075,7.209287166595459
"{'dhidden': 128, 'batchsize': 16, 'lr': 0.001}",9,146.51285664295636,147.0426125,7.010934114456177
"{'dhidden': 128, 'batchsize': 16, 'lr': 0.001}",10,145.9985217351092,146.727775,7.01652455329895
"{'dhidden': 128, 'batchsize': 16, 'lr': 0.001}",11,145.54946156214575,146.0351,7.244792461395264
"{'dhidden': 128, 'batchsize': 16, 'lr': 0.001}",12,145.1871900927324,145.6501,6.778448104858398
"{'dhidden': 128, 'batchsize': 16, 'lr': 0.001}",13,144.81319405715223,145.622975,7.223225116729736
"{'dhidden': 128, 'batchsize': 16, 'lr': 0.001}",14,144.48396732903188,145.556425,6.855545520782471
"{'dhidden': 128, 'batchsize': 16, 'lr': 0.001}",15,144.18835616092676,145.3361875,7.3327789306640625
"{'dhidden': 128, 'batchsize': 16, 'lr': 0.001}",16,143.89880691206784,145.25065,7.241600513458252
"{'dhidden': 128, 'batchsize': 16, 'lr': 0.001}",17,143.67604689090592,145.3543875,6.9105870723724365
"{'dhidden': 128, 'batchsize': 16, 'lr': 0.001}",18,143.38653761649266,145.2563625,7.215525150299072
"{'dhidden': 128, 'batchsize': 16, 'lr': 0.001}",19,143.198434823098,144.954025,6.880949258804321
