flt_nm,mjd,fluxcal,fluxcalerr,processing
869.1,56990.188,237.68745,15.452156,raw
869.1,57001.154,198.53886,12.860387,raw
869.1,57003.05,188.29808,8.118005,raw
869.1,57011.078,190.08492,6.768235,raw
869.1,57019.049,164.64359,12.417274,raw
869.1,57021.05,198.30893,9.606149,raw
482.7,56915.265,67.75870325752095,7.185072809558905,gp
482.7,56916.333464646465,71.99000171734886,6.524240105094338,gp
482.7,56917.40192929293,76.32416663261753,5.950523206379072,gp
482.7,56918.470393939395,80.72348485557754,5.446960346738473,gp
482.7,56919.53885858586,85.15028366934314,4.998953981840984,gp
482.7,56920.607323232325,89.5668993481298,4.5970767239194625,gp
482.7,56921.67578787879,93.93564572092916,4.239557223012894,gp
482.7,56922.744252525255,98.21878271790436,3.9339244197435206,gp
482.7,56923.81271717171,102.37893420370153,3.696195241760878,gp
482.7,56924.88118181818,106.3908111996146,3.5327583860085143,gp
482.7,56925.94964646464,110.2423289858618,3.4381431509341898,gp
482.7,56927.01811111111,113.92193200688021,3.413900685878454,gp
482.7,56928.086575757574,117.41713143185243,3.465802305981516,gp
482.7,56929.15504040404,120.70863391026671,3.5793834673501794,gp
482.7,56930.223505050504,123.77358978878715,3.7342857871494264,gp
482.7,56931.29196969697,126.5889181723941,3.9199350385932554,gp
482.7,56932.360434343434,129.13133141221414,4.134773569276872,gp
482.7,56933.4288989899,131.38765770752394,4.3746452607623505,gp
482.7,56934.497363636365,133.37233716006637,4.617035317041033,gp
482.7,56935.56582828283,135.10420408782173,4.84047898418338,gp
482.7,56936.634292929295,136.60186457551544,5.029120936599475,gp
482.7,56937.70275757576,137.88371135342058,5.172519080906616,gp
482.7,56938.77122222222,138.96793854136592,5.265095065221866,gp
482.7,56939.83968686868,139.8725562665635,5.305596631197088,gp
482.7,56940.90815151515,140.6154051643033,5.296652606694406,gp
482.7,56941.97661616161,141.2141707703986,5.24436208370955,gp
482.7,56943.04508080808,141.6863978139741,5.15777104282747,gp
482.7,56944.113545454544,142.04903601054116,5.046006792480787,gp
482.7,56945.18201010101,142.31599513136638,4.906923444755975,gp
482.7,56946.250474747474,142.4999549852589,4.735702240031761,gp
482.7,56947.31893939394,142.61350169455395,4.5313045783153845,gp
482.7,56948.387404040404,142.66914031355233,4.297939942214527,gp
482.7,56949.45586868687,142.67930500304567,4.046478042520629,gp
482.7,56950.524333333335,142.65636915669623,3.7957476490762843,gp
482.7,56951.5927979798,142.61265548542622,3.572995835798323,gp
482.7,56952.661262626265,142.55950730193027,3.410384433389213,gp
482.7,56953.72972727272,142.48747705300795,3.3141572889155504,gp
482.7,56954.79819191919,142.3667713416277,3.2649275825118957,gp
482.7,56955.86665656565,142.16668520932183,3.24946858568681,gp
482.7,56956.93512121212,141.85642534208958,3.2667098087792845,gp
482.7,56958.00358585858,141.40740859292873,3.3261158849049735,gp
482.7,56959.07205050505,140.80595145445199,3.435547615867822,gp
482.7,56960.140515151514,140.04953121800787,3.5963773605562297,gp
482.7,56961.20897979798,139.15852456991644,3.7844519900158873,gp
482.7,56962.277444444444,138.1594031350288,3.9734371868224647,gp
482.7,56963.34590909091,137.07852739612883,4.144942309166244,gp
482.7,56964.414373737374,135.9421403849712,4.288220839526837,gp
482.7,56965.48283838384,134.76936410686062,4.3951733816641685,gp
482.7,56966.551303030305,133.56292753387595,4.454666503563541,gp
482.7,56967.61976767677,132.32320213836795,4.459308375676165,gp
482.7,56968.68823232323,131.05051007087513,4.406723781013508,gp
482.7,56969.75669696969,129.74512462858002,4.29965392764686,gp
482.7,56970.82516161616,128.40727068952737,4.146104364356032,gp
482.7,56971.89362626262,127.03712511281577,3.95945504387372,gp
482.7,56972.96209090909,125.63481710491027,3.7581485767185203,gp
