#band: central wavelength of the passband of the observation in nm
#ph: phase of the observation when folded with ogle period
#mag: observed magnitude
#mag_e: error of mag
#hjd_2450000: heliocentric julian date - 2450000
#ph1: phase when folding on ogle period of fundamental radial mode
#ph2: phase when folding on ogle period of first overtone radial mode
#processing: which processing was done to get the datapoint
band,ph,mag,mag_e,hjd_2450000,processing
810,0.061423952230770656,18.92194573643411,0.04923982023973807,NaN,raw
810,0.06301330519188933,18.922881136950906,0.04902125818439489,NaN,raw
810,0.0630246212597761,18.908069767441862,0.06550187032910822,NaN,raw
810,0.06355675755548873,18.852,0.063,7079.61032,raw
810,0.06445515340020141,18.92637726098191,0.048426997822928496,NaN,raw
810,0.06541714919280081,18.909906976744185,0.06583160839939915,NaN,raw
810,0.06580699750208484,18.92813436692506,0.047866526976409425,NaN,raw
550,0.06646069009631599,19.48004166666667,0.03317735285438403,NaN,raw
550,0.06646069009631599,19.480041666666665,0.0317648969863844,NaN,raw
810,0.06652043639769545,19.014,0.074,6730.63014,raw
810,0.06672030129811901,18.99,0.051,5294.50662,raw
810,0.06706326263247554,18.93965633074935,0.05451487059985925,NaN,raw
